,Administrative,Informational,ProductRelated,BounceRates,PageValues,SpecialDay,Revenue
0,0,0,1,0.2,0.0,0.0,0
1,0,0,2,0.0,0.0,0.0,0
2,0,0,1,0.2,0.0,0.0,0
3,0,0,2,0.05,0.0,0.0,0
4,0,0,10,0.02,0.0,0.0,0
5,0,0,19,0.015789474,0.0,0.0,0
6,0,0,1,0.2,0.0,0.4,0
7,1,0,0,0.2,0.0,0.0,0
8,0,0,2,0.0,0.0,0.8,0
9,0,0,3,0.0,0.0,0.4,0
10,0,0,3,0.0,0.0,0.0,0
11,0,0,16,0.01875,0.0,0.4,0
12,0,0,7,0.0,0.0,0.0,0
13,0,0,6,0.0,0.0,0.0,0
14,0,0,2,0.0,0.0,0.0,0
15,2,0,23,0.008333333,0.0,0.0,0
16,0,0,1,0.2,0.0,0.0,0
17,0,0,13,0.0,0.0,0.0,0
18,0,0,2,0.0,0.0,0.0,0
19,0,0,20,0.0,0.0,0.0,0
20,0,0,8,0.0,0.0,1.0,0
21,0,0,2,0.2,0.0,0.0,0
22,0,0,3,0.0,0.0,0.0,0
23,0,0,2,0.0,0.0,0.8,0
24,0,0,1,0.2,0.0,0.0,0
25,0,0,5,0.0,0.0,0.0,0
26,4,0,32,0.002857143,0.0,0.0,0
27,0,0,4,0.05,0.0,0.0,0
28,0,0,4,0.0,0.0,0.2,0
29,1,1,45,0.043478261,54.17976426,0.4,0
30,0,0,2,0.0,0.0,0.0,0
31,0,0,3,0.0,0.0,0.0,0
32,0,0,8,0.0,0.0,0.0,0
33,0,0,10,0.04,0.0,0.0,0
34,0,0,14,0.014285714,0.0,0.0,0
35,0,0,52,0.015384615,0.0,0.0,0
36,0,0,8,0.025,0.0,0.0,0
37,2,0,5,0.0,0.0,0.8,0
38,0,0,7,0.028571429,0.0,0.6,0
39,0,0,9,0.0,0.0,0.0,0
40,1,0,46,0.0,0.0,0.0,0
41,0,0,3,0.0,0.0,0.6,0
42,0,0,15,0.0,0.0,0.0,0
43,0,0,2,0.0,0.0,0.4,0
44,0,0,4,0.0,0.0,0.0,0
45,0,0,22,0.003030303,0.0,0.2,0
46,0,0,14,0.017142857,0.0,0.0,0
47,0,0,3,0.066666667,0.0,0.2,0
48,0,0,11,0.0,0.0,0.0,0
49,0,0,1,0.2,0.0,0.6,0
50,0,0,1,0.2,0.0,0.0,0
51,0,0,12,0.011111111,0.0,0.2,0
52,0,0,2,0.0,0.0,1.0,0
53,0,0,4,0.0,0.0,0.0,0
54,0,0,4,0.05,0.0,0.4,0
55,0,0,1,0.2,0.0,0.2,0
56,0,0,1,0.2,0.0,0.6,0
57,4,2,36,0.0,19.44707913,0.2,0
58,0,0,4,0.0,0.0,0.4,0
59,2,0,16,0.011764706,0.0,0.6,0
60,0,0,6,0.0,0.0,0.4,0
61,0,0,8,0.05,0.0,0.0,0
62,12,0,42,0.009,38.30849268,0.0,0
63,0,0,14,0.0,0.0,0.0,0
64,0,0,1,0.2,0.0,0.0,0
65,3,0,27,0.0,22.9160357,0.8,1
66,4,0,90,0.002150538,0.0,0.0,0
67,0,0,1,0.2,0.0,0.6,0
68,0,0,18,0.0,0.0,0.0,0
69,0,0,1,0.2,0.0,0.2,0
70,0,0,1,0.2,0.0,0.0,0
71,0,0,20,0.025,0.0,0.0,0
72,0,0,2,0.0,0.0,0.4,0
73,0,0,8,0.0,0.0,0.0,0
74,0,0,3,0.0,0.0,0.0,0
75,0,0,16,0.0,0.0,0.0,0
76,10,0,36,0.004347826,11.43941195,0.0,1
77,0,0,2,0.0,0.0,0.6,0
78,0,0,1,0.2,0.0,1.0,0
79,0,0,1,0.2,0.0,0.4,0
80,0,0,7,0.0,0.0,0.0,0
81,0,0,4,0.0,0.0,0.8,0
82,0,0,6,0.0,0.0,0.0,0
83,0,0,12,0.016666667,0.0,0.0,0
84,0,0,1,0.2,0.0,0.8,0
85,0,0,1,0.2,0.0,0.0,0
86,0,0,7,0.057142857,0.0,0.0,0
87,0,0,3,0.0,0.0,0.0,0
88,0,0,7,0.028571429,0.0,0.4,0
89,0,0,19,0.0,0.0,0.0,0
90,2,0,15,0.0,0.0,0.4,0
91,0,0,1,0.2,0.0,0.0,0
92,0,0,2,0.0,0.0,0.0,0
93,0,0,13,0.0,0.0,0.0,0
94,0,0,27,0.003703704,0.0,0.6,0
95,0,0,2,0.0,0.0,0.2,0
96,0,0,6,0.05,0.0,0.2,0
97,0,0,4,0.0,0.0,0.6,0
98,0,1,7,0.038095238,0.0,0.6,0
99,0,0,16,0.004166667,0.0,0.0,0
100,3,0,38,0.0,0.0,0.4,0
101,4,0,19,0.0,17.53595893,1.0,1
102,0,0,6,0.0,0.0,0.4,0
103,2,1,36,0.0,0.0,0.8,0
104,3,0,17,0.007058824,0.0,0.0,0
105,0,0,2,0.15,0.0,0.0,0
106,0,1,9,0.044444444,0.0,0.8,0
107,0,0,12,0.05,0.0,0.0,0
108,0,0,2,0.05,0.0,0.8,0
109,6,4,128,0.000854701,0.0,0.0,0
110,0,0,4,0.0,0.0,0.6,0
111,0,0,4,0.2,0.0,0.4,0
112,0,0,1,0.2,0.0,0.8,0
113,2,0,25,0.008,0.0,0.2,0
114,0,1,30,0.012903226,0.0,0.2,0
115,0,0,12,0.0,0.0,0.0,0
116,0,0,21,0.0,0.0,0.8,0
117,0,0,11,0.018181818,0.0,0.2,0
118,0,0,8,0.0,0.0,0.0,0
119,0,0,6,0.0,0.0,0.0,0
120,0,0,6,0.0,0.0,0.0,0
121,0,0,4,0.0,0.0,0.6,0
122,0,2,14,0.0,0.0,0.8,0
123,0,0,3,0.0,0.0,0.0,0
124,0,0,11,0.028,0.0,0.0,0
125,0,0,1,0.2,0.0,0.0,0
126,0,0,9,0.0,0.0,0.4,0
127,0,0,10,0.0,0.0,0.4,0
128,4,0,51,0.0,0.0,0.6,0
129,0,0,3,0.133333333,0.0,0.0,0
130,0,0,2,0.0,0.0,0.0,0
131,2,0,16,0.0,0.0,0.0,0
132,0,0,1,0.2,0.0,0.0,0
133,0,0,6,0.0,0.0,0.8,0
134,6,0,26,0.0,0.0,0.6,0
135,0,0,6,0.0,0.0,0.0,0
136,0,0,9,0.005555556,0.0,0.0,0
137,0,0,3,0.0,0.0,0.0,0
138,0,0,2,0.05,0.0,0.4,0
139,4,0,14,0.0,0.0,0.2,0
140,0,0,1,0.2,0.0,0.0,0
141,0,0,9,0.0,0.0,0.2,0
142,3,0,8,0.0,0.0,0.0,0
143,0,0,1,0.2,0.0,0.0,0
144,0,1,10,0.0,0.0,0.0,0
145,0,0,3,0.066666667,0.0,0.4,0
146,0,0,3,0.0,0.0,0.0,0
147,0,0,4,0.0,0.0,0.0,0
148,0,0,28,0.007142857,0.0,0.0,0
149,0,0,11,0.0,0.0,0.8,0
150,0,0,20,0.0075,0.0,0.0,0
151,0,0,1,0.2,0.0,0.4,0
152,0,0,4,0.1,0.0,0.0,0
153,0,0,19,0.0,0.0,0.2,0
154,0,0,9,0.0,0.0,0.0,0
155,0,0,21,0.033333333,0.0,0.0,0
156,0,0,1,0.2,0.0,0.0,0
157,0,0,6,0.0,0.0,0.8,0
158,0,0,1,0.2,0.0,0.0,0
159,0,0,1,0.2,0.0,0.0,0
160,0,0,23,0.008695652,0.0,0.6,0
161,2,2,31,0.03030303,0.0,0.0,0
162,1,0,23,0.015217391,0.0,0.0,0
163,0,0,6,0.0,0.0,0.4,0
164,0,0,23,0.008695652,0.0,0.6,0
165,0,0,12,0.0,0.0,0.0,0
166,0,0,5,0.0,0.0,0.0,0
167,0,0,5,0.086666667,0.0,0.0,0
168,0,0,11,0.018181818,0.0,0.0,0
169,0,0,20,0.0,0.0,0.8,0
170,1,0,15,0.0,0.0,0.8,0
171,0,0,17,0.011111111,0.0,0.0,0
172,0,0,3,0.066666667,0.0,0.6,0
173,0,0,1,0.2,0.0,0.8,0
174,5,0,24,0.0,0.0,1.0,0
175,3,0,10,0.0,0.0,0.0,0
176,0,0,7,0.0,0.0,0.0,0
177,1,0,21,0.010743802,0.0,0.0,0
178,0,0,1,0.2,0.0,0.0,0
179,0,0,6,0.033333333,0.0,0.6,0
180,0,0,17,0.0,0.0,0.0,0
181,0,0,1,0.2,0.0,0.6,0
182,0,0,1,0.2,0.0,0.0,0
183,0,0,8,0.008333333,0.0,0.8,0
184,0,16,5,0.003174603,0.0,0.0,0
185,0,0,20,0.011111111,8.000740741,0.0,0
